Macierz odleglosci:
Poznań	Łódź	Warszawa	Białystok	Augustów	Olsztyn	Elbląg	Gdańsk	Gdynia	Grudziądz	Bydgoszcz	Włocławek	Piotrków_Trybunalski	Radom	Lublin	Rzeszów	Tarnów	Kraków	Kielce	Katowice	Częstochowa	Opole	Wrocław	Koszalin	Szczecin	Piła	Gorzów_Wielkopolski	Nowy_Dworek	Legnica	Zakopane	Przemyśl	
Łódź	0	98	230	305	257	331	309	340	233	160	81	51	150	231	382	324	254	210	195	140	272	255	437	332	243	264	217	316	370	444	

Warszawa	98	0	132	207	159	233	272	303	331	258	179	149	92	133	289	324	254	152	293	238	370	353	463	430	341	362	315	414	370	351	

Białystok	230	132	0	75	245	319	358	389	434	390	311	281	224	214	370	428	386	284	425	370	502	485	549	562	473	494	447	546	502	432	

Augustów	305	207	75	0	170	244	283	314	359	432	386	356	299	289	445	503	461	359	500	445	577	560	474	579	522	569	522	621	577	507	

Olsztyn	257	159	245	170	0	74	113	144	189	262	338	308	251	292	448	483	413	311	452	397	529	484	304	409	352	477	446	545	529	510	

Elbląg	331	233	319	244	74	0	39	70	115	188	267	382	325	366	522	557	487	385	526	471	487	410	230	335	278	403	372	471	603	584	

Gdańsk	309	272	358	283	113	39	0	31	76	149	228	360	364	405	561	596	526	424	504	449	448	371	191	296	239	364	333	432	642	623	

Gdynia	340	303	389	314	144	70	31	0	107	180	259	391	395	436	592	627	557	455	535	480	479	402	160	265	270	333	364	463	673	654	

Grudziądz	233	331	434	359	189	115	76	107	0	73	152	284	383	464	615	557	487	443	428	373	372	295	267	307	163	304	257	356	603	677	

Bydgoszcz	160	258	390	432	262	188	149	180	73	0	79	211	310	391	542	484	414	370	355	300	299	222	339	234	90	231	184	283	530	604	

Włocławek	81	179	311	386	338	267	228	259	152	79	0	132	231	312	463	405	335	291	276	221	353	301	418	313	169	310	263	362	451	525	

Piotrków_Trybunalski	51	149	281	356	308	382	360	391	284	211	132	0	99	192	331	273	203	159	144	89	221	298	488	383	294	315	268	359	319	393	

Radom	150	92	224	299	251	325	364	395	383	310	231	99	0	93	249	232	162	60	221	188	298	375	555	482	393	414	367	436	278	311	

Lublin	231	133	214	289	292	366	405	436	464	391	312	192	93	0	156	214	255	153	314	281	391	468	596	563	474	495	448	529	371	218	

Rzeszów	382	289	370	445	448	522	561	592	615	542	463	331	249	156	0	58	128	230	187	242	264	341	722	617	559	549	502	402	244	62	

Tarnów	324	324	428	503	483	557	596	627	557	484	405	273	232	214	58	0	70	172	129	184	206	283	664	559	501	491	444	344	186	120	

Kraków	254	254	386	461	413	487	526	557	487	414	335	203	162	255	128	70	0	102	59	114	136	213	594	489	431	421	374	274	116	190	

Kielce	210	152	284	359	311	385	424	455	443	370	291	159	60	153	230	172	102	0	161	216	238	315	615	542	453	474	427	376	218	292	

Katowice	195	293	425	500	452	526	504	535	428	355	276	144	221	314	187	129	59	161	0	55	77	154	535	430	372	362	315	215	175	249	

Częstochowa	140	238	370	445	397	471	449	480	373	300	221	89	188	281	242	184	114	216	55	0	132	209	577	472	383	404	357	270	230	304	

Opole	272	370	502	577	529	487	448	479	372	299	353	221	298	391	264	206	136	238	77	132	0	77	458	353	295	285	238	138	252	326	

Wrocław	255	353	485	560	484	410	371	402	295	222	301	298	375	468	341	283	213	315	154	209	77	0	381	276	218	208	161	61	329	403	

Koszalin	437	463	549	474	304	230	191	160	267	339	418	488	555	596	722	664	594	615	535	577	458	381	0	105	249	173	220	320	710	784	

Szczecin	332	430	562	579	409	335	296	265	307	234	313	383	482	563	617	559	489	542	430	472	353	276	105	0	144	68	115	215	605	679	

Piła	243	341	473	522	352	278	239	270	163	90	169	294	393	474	559	501	431	453	372	383	295	218	249	144	0	212	180	279	547	621	

Gorzów_Wielkopolski	264	362	494	569	477	403	364	333	304	231	310	315	414	495	549	491	421	474	362	404	285	208	173	68	212	0	47	147	537	611	

Nowy_Dworek	217	315	447	522	446	372	333	364	257	184	263	268	367	448	502	444	374	427	315	357	238	161	220	115	180	47	0	100	490	564	

Legnica	316	414	546	621	545	471	432	463	356	283	362	359	436	529	402	344	274	376	215	270	138	61	320	215	279	147	100	0	390	464	

Zakopane	370	370	502	577	529	603	642	673	603	530	451	319	278	371	244	186	116	218	175	230	252	329	710	605	547	537	490	390	0	306	

Przemyśl	444	351	432	507	510	584	623	654	677	604	525	393	311	218	62	120	190	292	249	304	326	403	784	679	621	611	564	464	306	0	
